STOP_ID,STOP_FRISK_DATE,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME
1,01/01/2021,SGT,POM,CPW,Y,ASSAULT,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),APP NORMAL,40,MALE,BLACK,6.2,200,THN,BRO,BLD,BRONX
2,01/01/2021,POM,SGT,ROBBERY,Y,ROBBERY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,19,MALE,BLACK,5.11,160,THN,BRO,BLK,QUEENS
3,01/01/2021,POM,SGT,OTHER,Y,ASSAULT,N,Y,(null),(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),INTOXICATED,(null),MALE,ASIAN / PACIFIC ISLANDER,(null),(null),MED,(null),(null),QUEENS
4,01/01/2021,POM,LT,ASSAULT,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,28,MALE,BLACK,6,180,MED,BRO,BLK,BROOKLYN
5,01/01/2021,POM,SGT,RAPE,N,(null),Y,N,N,(null),N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),CONFUSED,19,MALE,BLACK,6.2,185,MED,BRO,BLK,MANHATTAN
6,01/01/2021,POM,SGT,ASSAULT,Y,ASSAULT,Y,Y,Y,Y,Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,32,MALE,WHITE HISPANIC,5.1,160,THN,BRO,BLK,BRONX
7,01/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRATE,32,MALE,BLACK,5.11,170,THN,BRO,BLK,BROOKLYN
8,02/01/2021,POM,LT,CPW,N,(null),Y,N,Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,45,MALE,WHITE HISPANIC,5.1,170,MED,BRO,BLK,BRONX
9,02/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),NERVOUS,27,MALE,BLACK,5.9,160,THN,BRO,BLK,BRONX
10,02/01/2021,POM,SGT,BURGLARY,N,(null),Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,57,MALE,WHITE HISPANIC,5.3,150,THN,BRO,BRO,BROOKLYN
11,02/01/2021,POM,LT,ASSAULT,Y,ASSAULT,N,Y,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,(null),MALE,BLACK,5.11,260,HEA,BRO,BLK,QUEENS
12,02/01/2021,POM,SGT,CPW,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),CALM,45,MALE,BLACK,5.11,150,THN,BRO,BLK,QUEENS
13,01/01/2021,POM,SGT,CPW,Y,CPW,Y,Y,N,N,N,(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),Y,(null),CALM,17,MALE,WHITE HISPANIC,5.1,150,THN,BRO,BLK,QUEENS
14,01/01/2021,POM,SGT,GRAND LARCENY,Y,GRAND LARCENY,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,42,MALE,WHITE,6,160,THN,ZZZ,XXX,MANHATTAN
15,02/01/2021,POM,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,43,MALE,WHITE HISPANIC,5.9,200,MED,BLK,BLD,BRONX
16,04/01/2021,POM,SGT,CRIMINAL MISCHIEF,Y,CRIMINAL MISCHIEF,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),APPARENTLY NORMAL,65,MALE,BLACK,6.5,180,THN,BRO,BLK,MANHATTAN
17,03/01/2021,POM,SGT,OTHER,Y,OTHER,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),CALM,30,MALE,WHITE HISPANIC,5.4,250,HEA,BRO,BLK,MANHATTAN
18,04/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,BLACK,5.1,160,THN,BRO,XXX,BRONX
19,04/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),ANNOYED,20,MALE,BLACK,6,220,MED,BRO,XXX,BRONX
20,04/01/2021,POM,LT,CPW,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALMN,50,MALE,BLACK,5.11,280,MED,BRO,BLK,QUEENS
21,04/01/2021,POM,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,ASIAN / PACIFIC ISLANDER,5.9,165,THN,BRO,BLK,QUEENS
